id_transaksi,tanggal_transaksi,id_pelanggan,nama_pelanggan,id_distributor,id_cabang,nama_daerah,jenis_usaha,id_barang,nama_barang,id_merek,kategori_produk,tipe_produk,satuan_kemasan,jumlah_barang,harga_idr
IN6005,2022-02-01,CUST55447,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,12,9800.00
IN6006,2022-02-12,CUST55554,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,5,47000.00
IN6007,2022-05-02,CUST55715,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,9,39000.00
IN6008,2022-01-30,CUST55469,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,12,24500.00
IN6009,2022-04-28,CUST55637,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,76,9800.00
IN6010,2022-05-31,CUST55676,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,5,96000.00
IN6011,2022-02-25,CUST55567,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,10,9800.00
IN6012,2022-06-16,CUST55712,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,5,17000.00
IN6013,2022-01-28,CUST55407,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,25,112000.00
IN6014,2022-03-21,CUST55591,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,34,112000.00
IN6015,2022-01-31,CUST55482,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,5,17000.00
IN6016,2022-03-09,CUST55579,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,5,21000.00
IN6017,2022-02-01,CUST55513,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,23,24500.00
IN6018,2022-04-01,CUST55602,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,14,17000.00
IN6019,2022-04-20,CUST55663,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,12,24500.00
IN6020,2022-03-11,CUST55581,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,1,112000.00
IN6021,2022-04-19,CUST55620,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,7,96000.00
IN6022,2022-05-23,CUST55654,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,9,47000.00
IN6023,2022-02-01,CUST55399,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,15,21000.00
IN6024,2022-01-27,CUST55394,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,12,47000.00
IN6025,2022-01-30,CUST55523,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,7,24500.00
IN6026,2022-02-16,CUST55558,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,21,17000.00
IN6027,2022-04-11,CUST55612,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,10,17000.00
IN6028,2022-01-23,CUST55420,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,98,96000.00
IN6029,2022-01-28,CUST55389,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,4,21000.00
IN6030,2022-05-01,CUST55709,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,10,24500.00
IN6031,2022-04-15,CUST55616,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,4,96000.00
IN6032,2022-06-03,CUST55679,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,23,24500.00
IN6033,2022-06-12,CUST55688,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,34,31000.00
IN6034,2022-02-20,CUST55562,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,14,17000.00
IN6035,2022-04-25,CUST55626,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,20,64700.00
IN6036,2022-01-27,CUST55388,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,23,31000.00
IN6037,2022-05-03,CUST55721,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,45,112000.00
IN6038,2022-01-30,CUST55517,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,98,9800.00
IN6039,2022-01-23,CUST55480,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,13,96000.00
IN6040,2022-01-31,CUST55470,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,10,96000.00
IN6041,2022-02-28,CUST55570,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,5,96000.00
IN6042,2022-01-31,CUST55428,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,67,31000.00
IN6043,2022-03-10,CUST55580,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,9,96000.00
IN6044,2022-05-01,CUST55694,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,18,47000.00
IN6045,2022-01-31,CUST55506,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,21,64700.00
IN6046,2022-06-15,CUST55691,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,12,112000.00
IN6047,2022-04-26,CUST55635,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,12,39000.00
IN6048,2022-01-31,CUST55464,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,25,47000.00
IN6049,2022-01-28,CUST55479,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,9,21000.00
IN6050,2022-01-31,CUST55434,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,34,47000.00
IN6051,2022-03-23,CUST55593,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,15,24500.00
IN6052,2022-01-23,CUST55385,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,5,39000.00
IN6053,2022-01-28,CUST55437,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,44,112000.00
IN6054,2022-02-01,CUST55435,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,34,39000.00
IN6055,2022-03-13,CUST55583,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,4,24500.00
IN6056,2022-04-20,CUST55621,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,100,112000.00
IN6057,2022-05-17,CUST55648,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,10,17000.00
IN6058,2022-01-27,CUST55532,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,34,17000.00
IN6059,2022-06-07,CUST55683,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,11,24500.00
IN6060,2022-02-01,CUST55543,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,22,24500.00
IN6061,2022-02-24,CUST55566,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,12,64700.00
IN6062,2022-01-27,CUST55490,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,12,96000.00
IN6063,2022-02-01,CUST55417,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,12,9800.00
IN6064,2022-01-28,CUST55515,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,10,39000.00
IN6065,2022-01-23,CUST55474,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,4,47000.00
IN6066,2022-01-27,CUST55538,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,12,31000.00
IN6067,2022-05-01,CUST55704,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,14,47000.00
IN6068,2022-01-31,CUST55536,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,6,64700.00
IN6069,2022-03-01,CUST55571,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,4,112000.00
IN6070,2022-01-28,CUST55485,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,23,39000.00
IN6071,2022-04-27,CUST55636,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,95,64700.00
IN6072,2022-02-01,CUST55477,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,1,9800.00
IN6073,2022-04-27,CUST55628,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,34,31000.00
IN6074,2022-01-27,CUST55472,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,98,17000.00
IN6075,2022-04-16,CUST55638,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,48,31000.00
IN6076,2022-03-24,CUST55594,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,12,47000.00
IN6077,2022-05-16,CUST55647,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,12,112000.00
IN6078,2022-03-30,CUST55600,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,12,96000.00
IN6079,2022-01-31,CUST55494,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,34,47000.00
IN6080,2022-03-26,CUST55596,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,14,64700.00
IN6081,2022-03-19,CUST55589,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,25,24500.00
IN6082,2022-04-16,CUST55617,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,8,112000.00
IN6083,2022-01-30,CUST55487,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,2,9800.00
IN6084,2022-02-01,CUST55471,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,67,112000.00
IN6085,2022-03-31,CUST55601,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,25,112000.00
IN6086,2022-01-23,CUST55408,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,14,17000.00
IN6087,2022-02-18,CUST55560,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,12,96000.00
IN6088,2022-02-06,CUST55548,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,10,31000.00
IN6089,2022-01-25,CUST55386,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,9,64700.00
IN6090,2022-05-24,CUST55655,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,21,39000.00
IN6091,2022-06-11,CUST55687,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,14,9800.00
IN6092,2022-03-14,CUST55584,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,2,47000.00
IN6093,2022-05-29,CUST55674,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,13,47000.00
IN6094,2022-05-02,CUST55710,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,67,96000.00
IN6095,2022-01-27,CUST55478,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,5,31000.00
IN6096,2022-02-19,CUST55561,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,25,112000.00
IN6097,2022-04-30,CUST55718,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,100,31000.00
IN6098,2022-03-29,CUST55599,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,19,21000.00
IN6099,2022-01-30,CUST55457,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,5,9800.00
IN6100,2022-06-01,CUST55677,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,9,112000.00
IN6101,2022-04-30,CUST55723,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,20,24500.00
IN6102,2022-01-31,CUST55392,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,11,17000.00
IN6103,2022-01-27,CUST55496,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,15,96000.00
IN6104,2022-01-30,CUST55433,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,45,24500.00
IN6105,2022-05-02,CUST55700,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,21,96000.00
IN6106,2022-04-30,CUST55713,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,4,24500.00
IN6107,2022-01-30,CUST55511,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,24,112000.00
IN6108,2022-01-30,CUST55409,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,21,24500.00
IN6109,2022-06-16,CUST55702,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,12,17000.00
